snapshot,relative_path,workspace_path,bytes,sha256,normalized_sha256,normalization
main,COP/start_up.h,COP/start_up.h,412,754f5a3386f1df67cf379e07b4b5330bcada879c345e71c0bac506d7f9b13706,ba77066eb56dac27107f399669bb699da63c8c72d17328fab60acbb5839c7386,utf-8 BOM/newlines normalized
main,COP/test.c,COP/test.c,687,2c2c9c6f7348a436fe1185026392011d26088abe935ecfe4da80c57234f31f47,a433119fd0b44631362cbb85ba67ea80be62f6f31097205407c9c50e47eb95f0,utf-8 BOM/newlines normalized
main,COP/test.h,COP/test.h,401,fb5533851667c6820aac85f93e32b25272af2cfc1308b1857b40200d382ac6fd,ea145b699f8aecdc8603a7f6721fd907529e940810a0a81be9910a191a2afa9a,utf-8 BOM/newlines normalized
main,COP/warning.c,COP/warning.c,6376,a73227f5ed7dc0dd3d22e06a2f48c18cd089943d0264cf88f9922a277fba147e,881c5789330dcb0108b0ffcd8d98fd8b0a68fce40a3e53d0b6a037f897e6e56c,utf-8 BOM/newlines normalized
main,COP/warning.h,COP/warning.h,731,0d224c347a6cf8083e199cab96c1bddddc7b9f1a664aca9f01f1a03e12b31f5d,4e55abafa3f4fcaa971ca63ccbc04349b8c23b32369c938b9bc0bb57994778d8,utf-8 BOM/newlines normalized
main,Core/Inc/adc.h,Core/Inc/adc.h,1372,4052f2e6bc5b3bcb85d083dc16c9dfc2d851564d319e918b6621ea01d4aea37b,da412e86da525a59df37d79a3f232096a71d035b7d5ba414bb97fd43e7988030,utf-8 BOM/newlines normalized
main,Core/Inc/dma.h,Core/Inc/dma.h,1393,7cf6f7450a29d26303cbba5a3ca8c6cb24a02635d6a5ba4d05141fdfc75c4c49,f3190614531c4bd5af6cfcee9cc29aea0321863613eba43266dadb615e6f1036,utf-8 BOM/newlines normalized
main,Core/Inc/gpio.h,Core/Inc/gpio.h,1313,e2d62f964a0b7f238384ed6a20a181d09df9647240a268dc547acf5b35099f74,cd5a5f75903537cba4460073b40e3b0d18d4af6dd7522c5a0756f0b9261e03af,utf-8 BOM/newlines normalized
main,Core/Inc/main.h,Core/Inc/main.h,2003,ef067e8a4e2e9040720af5e7cb8d1e3d9360d46a3debf11da9771bb0104293c8,2ce048de1cae9009b13f034822a6a9e45ff0aadb00605f1203c24d68ca2069a2,utf-8 BOM/newlines normalized
main,Core/Inc/stm32f0xx_hal_conf.h,Core/Inc/stm32f0xx_hal_conf.h,12370,b7548d75ac43ec9efefd83c00491df3450962801b384b33657e76d98b0a3548d,73f912abc5e66e64eaabf962856be222532d28109eaef075684149f52f4e0b76,utf-8 BOM/newlines normalized
main,Core/Inc/stm32f0xx_it.h,Core/Inc/stm32f0xx_it.h,2011,8803ae7942dd9046fc3f5556d67776fa879282014d6f4eb417dcd38610a19c28,a171dad582b92589d640e8b7979996d6c281a90d767511f338f3fdfa724249a3,utf-8 BOM/newlines normalized
main,Core/Inc/tim.h,Core/Inc/tim.h,1345,b060d62de6437c2e1be10eb11aa9c07afba7588e10491d67739df5bacda5d4bd,0fcf34a7240f07510e6a37667a8ef0fa38e4a416f824c03476924c38ccbe174f,utf-8 BOM/newlines normalized
main,Core/Inc/usart.h,Core/Inc/usart.h,3193,26b6598a423ae5c5767ea5798b83db8e192166bc34a60b3fb311a9bbb3070877,f6ee13764eb6fb6997440fcc33367cd75f9d7eabd4cb07de04387f49aff167e1,utf-8 BOM/newlines normalized
main,Core/Src/adc.c,Core/Src/adc.c,4720,8908b5138ca35ebe901a8381d9ec7a8d874e0bece07b2b86544025f09774aae5,a9075d1c2d655c280d363e0402e608361712e2850b402383f8e8c4d34c2a649f,utf-8 BOM/newlines normalized
main,Core/Src/dma.c,Core/Src/dma.c,1908,69c62ddd8ca5ca7f16d57cc767580c42229a650ad1a4f2f564b9ffa7452e96af,277cce436238a8d4494d917cfef452a895fbc4f4d319cd4eb1ad1928b40e9040,utf-8 BOM/newlines normalized
main,Core/Src/gpio.c,Core/Src/gpio.c,2989,39cdde8fa6e00c0aa8b41a114f806c0c20a340d336ac171757f7d8df04193c96,db8f0acf11aa079c2dfd329d04bf1fb106bc1a1380abc43b467c6e96f2917e5d,utf-8 BOM/newlines normalized
main,Core/Src/main.c,Core/Src/main.c,6801,e4f10f2049187a2ea79ba1eedc50550ced5bed4fbdaa91919c87988c8676bd40,e4f10f2049187a2ea79ba1eedc50550ced5bed4fbdaa91919c87988c8676bd40,utf-8 BOM/newlines normalized
main,Core/Src/stm32f0xx_hal_msp.c,Core/Src/stm32f0xx_hal_msp.c,2231,0d3c29e612ee305efeb5006b3b1335bd67fea4c6a4888b2fe6075cec5e5dda81,5711e4e1612d4a26067e34b856c6d421ecd981f59bc64e6518af30c7da7dc53a,utf-8 BOM/newlines normalized
main,Core/Src/stm32f0xx_it.c,Core/Src/stm32f0xx_it.c,6599,3c127187ea4f230c91ff2a77689d89a027de6c659e546d055e569c30fbbe8400,b92665bbdd79b4abd663e33c37ecaccdc9955610e98518025abeb349f9e39572,utf-8 BOM/newlines normalized
main,Core/Src/system_stm32f0xx.c,Core/Src/system_stm32f0xx.c,9262,a5257cd1f7c7f099a2acaafb669a5af2b22b96f5d34a06d33ba212e52a275ea9,a5257cd1f7c7f099a2acaafb669a5af2b22b96f5d34a06d33ba212e52a275ea9,utf-8 BOM/newlines normalized
